% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, interquartile range, further/more values", seed=725074, Tue Oct 22 16:03:47 2024, <python>{}</python>
1 14 0.46596545734122313 1.0000484386731145 97.0 9.7000000000000000e+01 100.0 100.0 1.0   
2 28 0.4490013739366196 1.0635142475546462 97.0 9.8000000000000000e+01 100.0 100.0 1.0   
3 42 0.4465613650178589 1.077080058254291 97.0 9.8000000000000000e+01 99.0 100.0 2.0   
4 56 0.4409347159391862 1.1099689729596074 97.0 9.7000000000000000e+01 98.0 100.0 1.0   
5 70 0.4323783079322479 1.1343630855094797 97.0 9.7000000000000000e+01 98.0 99.0 1.0   
6 84 0.423215388455367 1.150274864550649 97.0 9.7000000000000000e+01 98.0 99.0 2.0   
7 98 0.406796618686591 1.1637819660927884 97.0 9.7000000000000000e+01 98.0 100.0 1.0   
8 112 0.3993460417703244 1.1777998895977189 97.0 9.7000000000000000e+01 99.0 100.0 2.0   
9 126 0.39690083280557464 1.1914328725805796 97.0 9.7000000000000000e+01 98.0 99.0 1.0   
10 140 0.39660804148608675 1.2063286137670084 97.0 9.7000000000000000e+01 98.0 100.0 1.0   
11 154 0.39418070634632973 1.2275623037214862 97.0 9.7000000000000000e+01 98.0 98.0 1.0   
12 168 0.38555559465389433 1.237152468316358 97.0 9.7000000000000000e+01 98.0 99.0 1.0   
13 182 0.38517171581546084 1.25434144382177 97.0 9.7000000000000000e+01 97.0 99.0 1.0   
14 196 0.39072343508916185 1.269383975048107 97.0 9.7000000000000000e+01 97.0 99.0 1.0   
15 210 0.39725052822617357 1.291788309775629 97.0 9.7000000000000000e+01 97.0 99.0 1.0   
16 224 0.39952126071664334 1.3105508727617674 97.0 9.7000000000000000e+01 97.0 99.0 1.0   
17 238 0.4044346596238809 1.3282925756795056 97.0 9.7000000000000000e+01 97.0 98.0 0.0   
18 252 0.40458886392086285 1.353867887922715 97.0 9.7000000000000000e+01 97.0 98.0 1.0   
19 266 0.39189017898446454 1.3922335160787707 97.0 9.7000000000000000e+01 97.0 99.0 1.0   
20 280 0.3741613133229667 1.4143985858104813 97.0 9.7000000000000000e+01 97.0 98.0 1.0   
21 294 0.3651125130134395 1.423023132631391 97.0 9.7000000000000000e+01 97.0 98.0 0.0   
22 308 0.3585808295515514 1.4300860446872647 97.0 9.7000000000000000e+01 97.0 99.0 1.0   
23 322 0.3524862945840929 1.4402343965950097 97.0 9.7000000000000000e+01 97.0 98.0 0.0   
24 336 0.3471132935501131 1.4443311864491255 97.0 9.7000000000000000e+01 97.0 99.0 1.0   
25 350 0.3397633127162408 1.444159351095506 97.0 9.7000000000000000e+01 97.0 98.0 1.0   
26 364 0.3432157520619398 1.468608065228111 97.0 9.7000000000000000e+01 97.0 99.0 0.0   
27 378 0.3525973001969617 1.4845653820406433 97.0 9.7000000000000000e+01 97.0 99.0 0.0   
