,Jumps,Enemies Killed,Difficulty,Time
Jumps,1.0,-0.22077259379904215,0.34673341985525724,0.8861067076082724
Enemies Killed,-0.22077259379904215,1.0,0.8312391059412709,-0.0008588746733859833
Difficulty,0.34673341985525724,0.8312391059412709,1.0,0.5416578839722198
Time,0.8861067076082725,-0.0008588746733859834,0.5416578839722198,0.9999999999999998
