,Jumps,Enemies Killed,Difficulty,Time
Jumps,1.0,-0.05466004639083625,0.46936917652746996,0.6901560556134348
Enemies Killed,-0.05466004639083625,1.0,0.8381556307715186,0.27894198422741767
Difficulty,0.46936917652746996,0.8381556307715187,1.0,0.7133517328487508
Time,0.6901560556134347,0.27894198422741767,0.7133517328487508,1.0
