,Jumps,Enemies Killed,Difficulty,Time
Jumps,1.0,-0.10006687112525094,0.6505921149810545,0.925980389058964
Enemies Killed,-0.10006687112525095,1.0,0.6756744095044979,-0.04802903282622089
Difficulty,0.6505921149810545,0.6756744095044979,1.0,0.6919770192632555
Time,0.925980389058964,-0.04802903282622089,0.6919770192632555,0.9999999999999999
